ensembl_gene_id	entrezgene
T24D1.1	172851
F35C12.2	172834
W04A8.1	173252
T05F1.7	188138
Y18D10A.5	173149
W02A11.8	NA
C41G7.7	183392
F30F8.2	172547
ZK39.8	173011
Y34D9B.1	171677
F40E3.6	353381
Y53C10A.10	190195
W03D8.2	171844
C36B1.1	172678
C36B1.1	13181243
C09D4.1	172203
B0207.4	172268
K09H9.2	171887
Y20F4.3	260016
F47G6.1	171715
F36A2.12	172696
ZK1025.6	191495
B0414.2	172243
Y71F9AR.3	171869
Y52B11A.3	173002
Y47H9C.6	173066
C43H8.1	183428
H16D19.1	173131
H16D19.1	173132
T27C10.8	6418603
Y106G6A.5	172849
F55H12.3	172702
F55F8.5	172226
C26C6.9	259317
M01A12.1	172222
Y65B4BL.6	190487
C27A12.5	191615
F53B6.8	172708
F32B5.3	185197
Y23H5B.2	189525
T22H2.1	188763
F56H1.7	NA
Y39G10AR.11	171785
F49B2.3	186010
F25H2.9	172942
ZK973.6	172034
Y105E8A.20	173312
ZC328.1	172340
W03F11.3	171779
F36D1.23	13182087
Y71F9B.6	260184
ZK1151.1	173058
F55A3.3	172984
E03H4.4	184019
M04F3.3	172091
C50F2.5	171973
F36A2.10	172694
C04F1.3	172236
M01D7.1	187367
F36D1.9	3564898
T26E3.2	173138
ZK1225.2	191534
F56G4.4	173027
D2005.3	183935
T22C1.3	172565
C54G4.2	172580
W04C9.4	171636
Y51F10.3	259367
H27M09.5	186791
F46F11.9	172217
Y54E5A.7	173332
F57C9.7	172098
Y106G6D.6	190917
C34G6.2	172263
W10C8.5	171850
F36H2.3	185381
C04F12.9	182229
Y71F9AL.9	171854
C01H6.2	172459
T28B8.3	189032
F41D3.7	185607
F13G3.11	172479
T23B3.4	188774
F12B6.3	184377
B0205.9	172975
C01F4.2	172102
K04G2.7	187007
T03F1.3	171965
W05F2.7	189218
Y47G6A.32	3564928
F45H11.2	172910
C37A5.8	183286
T23G11.1	172534
Y73E7A.3	190665
F28H1.2	171986
ZC308.1	172338
F33H2.2	173371
T04D3.5	173201
F52B5.5	172616
F35E2.1	185284
K04G2.3	172586
W05H12.2	189230
ZK909.3	191461
F33D11.3	185226
F02E9.3	184094
F14B6.3	173104
B0379.4	181944
F32B5.2	185196
T08G11.1	172705
C46H11.4	172128
Y110A7A.9	172144
F26H9.8	172758
F48C1.3	185973
Y37F4.4	260020
T06D10.1	172729
CC4.3	173175
T15D6.11	188537
Y54E5A.1	173327
F29D10.2	185118
F32H2.8	185215
F59C6.16	7040139
W02B9.1	173007
F53G12.7	171605
K02F2.3	172406
F36A2.9	172695
F47G4.6	185946
E01A2.10	6418581
T27A3.4	172293
C17H1.5	182747
Y44E3A.2	171905
C30F12.4	172429
Y105E8A.23	173317
F26B1.2	172330
T10E9.7	172363
Y39G10AR.18	171797
F30F8.1	172548
F49D11.7	186036
F43G9.2	185715
F37E3.3	185428
Y47G6A.7	171918
R06C1.4	173076
T09E11.1	188329
F45H11.3	172911
F28D9.2	185064
F10G8.3	172864
ZC334.7	3565697
C37A2.3	172400
T21G5.4	172415
T15D6.6	191726
M01G12.12	173092
C16C2.1	191616
Y63D3A.10	173274
F39B2.4	173345
C01A2.6	182051
T21E12.3	188700
K04F10.6	187005
F16D3.4	172622
K07A1.9	172800
Y47G6A.5	189992
Y39G10AR.2	171798
ZK1053.7	4363017
K07A12.6	172671
C49A1.10	183591
Y71A12C.1	190581
M04F3.4	187448
Y34D9A.7	189588
F08A8.8	6418582
F36D1.12	7040124
C15A11.7	172496
W02D3.5	172390
R06C7.8	172468
F36F2.2	172721
F54C1.2	172124
F58D5.4	173085
K07G5.6	172454
F36D1.5	185347
F27D4.1	172535
H26D21.2	171938
T22H2.6	173054
F11C3.1	184343
Y95B8A.10	190808
Y76G2A.2	3564771
Y76G2A.2	3565976
B0511.11	259397
W04G5.4	189200
F25F8.1	172104
F52A8.3	172484
C12C8.3	172760
F48C1.8	185976
VH15N14R.1	13180978
Y71G12B.1	171747
Y105E8A.27	3565398
F07A5.2	172489
W02D9.4	189120
Y18H1A.10	171659
B0414.5	172244
K04F10.2	187003
T22C1.9	172572
T27F6.4	173116
Y65B4BR.4	171647
K02B12.4	186869
Y18H1A.8	171667
R119.6	171630
T27F6.7	173119
K04F10.1	187002
T01A4.1	172051
K05C4.9	187021
B0511.9	172958
Y106G6H.16	172927
C45G3.5	3564968
H31G24.4	171993
H31B20.1	3565523
F25H5.2	184938
ZK849.5	173291
Y44E3B.1	171900
W09C3.7	172083
Y53H1A.2	173016
Y48G1BR.1	13179162
Y71A12B.23	13182890
K10D3.8	13180804
B0041.2	172076
Y54E10BR.8	171880
C41D11.9	266651
T19A6.4	259993
C55B7.11	183846
C35E7.3	172991
Y48G1C.13	13179121
C17H1.13	4363012
Y73E7A.8	171726
Y44E3A.6	171907
C24A11.1	172188
C36B1.11	172685
Y71A12B.6	190576
T23D8.2	192062
Y48G8AR.3	190049
C32E8.4	171947
C54G4.1	172581
W04C9.1	171639
C10H11.6	172085
Y95D11A.3	6418593
F25D7.5	184923
T04D3.4	173202
F56H6.13	186423
ZK973.1	172040
T28F2.7	189051
ZK484.4	172287
F32B4.4	185193
Y95B8A.5	171675
W02A11.3	173144
F52B5.2	172614
Y71G12B.35	13179386
Y65B4A.3	171654
C43E11.4	172024
F21C3.5	172474
W09C5.11	13182825
ZC581.2	191200
T05F1.4	172807
F15D3.7	173041
F56C11.6	171610
D2092.1	172382
T22A3.12	13181893
F30A10.6	172778
F56G4.7	3565060
F11A6.2	184340
Y20F4.2	259368
T05F1.11	172811
M05B5.5	172458
F55A12.9	172187
W03G9.3	172117
Y67A6A.1	172835
F58D5.6	186500
Y52B11C.1	3565275
Y105E8A.10	173305
C53H9.1	171750
R06C1.3	187639
F48C1.2	185972
C41D11.4	172043
C27A12.10	3565704
C34B2.7	172968
T28B8.6	3565540
K03E5.3	171911
T19B4.1	266833
Y110A7A.16	172143
T08B2.5	172312
T01G9.3	187968
C55B7.1	172361
T23H4.1	188818
K08C9.10	7040147
Y48G8AL.5	171697
Y105E8A.32	3565435
Y18D10A.23	173155
C25A1.5	172882
Y71G12B.16	190602
F47G4.2	173273
K06A5.2	259316
T02E1.2	172605
C50F2.7	183675
F02E9.10	172630
F36A2.4	185335
B0261.4	172164
F53F10.3	171957
F58D5.1	173086
C31H5.3	191605
C36B1.7	172681
C12C8.2	172759
C36B1.8	172682
C24A11.8	172189
Y39G10AL.1	171783
T02G6.5	173060
F46F11.2	172219
C47F8.5	183561
M05B5.6	3565192
Y105E8B.6	173324
F28C12.7	185059
Y110A7A.21	4927052
C24G7.1	182851
F47B3.1	171982
F47B3.1	171984
Y53C10A.9	173081
W02D3.10	189113
T15D6.3	173108
F32H2.3	172712
Y6B3B.3	189367
W04A4.4	189180
T28F2.1	189047
T23H2.4	188817
Y92H12BR.3	171707
B0205.5	181832
Y47H9C.10	190001
F46A9.3	185828
Y48G10A.4	173216
D2030.11	266841
DY3.5	183974
F25H5.5	172742
D1007.13	183890
K10C3.4	187255
C41G7.3	172786
F36A2.2	185334
Y71G12B.9	171739
ZK39.3	173009
E01A2.2	171996
Y71F9B.1	190590
H05L14.2	172577
