ensembl_gene_id	go_id
T24D1.1	GO:0005975
T24D1.1	GO:0009792
T24D1.1	GO:0008406
T24D1.1	GO:0016477
T24D1.1	GO:0051301
T24D1.1	GO:0000910
T24D1.1	GO:0048477
T24D1.1	GO:0000003
T24D1.1	GO:0002009
T24D1.1	GO:0040025
T24D1.1	GO:0018991
T24D1.1	GO:0016020
T24D1.1	GO:0032580
T24D1.1	GO:0016021
T24D1.1	GO:0005737
T24D1.1	GO:0016757
T24D1.1	GO:0016758
T24D1.1	GO:0019899
T24D1.1	GO:0055085
T24D1.1	GO:0002119
F35C12.2	GO:0055085
F35C12.2	GO:0016021
F35C12.2	GO:0006468
F35C12.2	GO:0009792
F35C12.2	GO:0040010
F35C12.2	GO:0002119
F35C12.2	GO:0007052
F35C12.2	GO:0006898
F35C12.2	GO:0035188
F35C12.2	GO:0010467
F35C12.2	GO:0040011
F35C12.2	GO:0043652
F35C12.2	GO:0007281
F35C12.2	GO:0060069
F35C12.2	GO:0005737
F35C12.2	GO:0004674
F35C12.2	GO:0004672
F35C12.2	GO:0005524
F35C12.2	GO:0004713
F35C12.2	GO:0005515
W04A8.1	GO:0040011
W04A8.1	
T05F1.7	GO:0006541
T05F1.7	GO:0004359
Y18D10A.5	GO:0030178
Y18D10A.5	GO:0006468
Y18D10A.5	GO:0005575
Y18D10A.5	GO:0005515
Y18D10A.5	GO:0030246
Y18D10A.5	GO:0004672
Y18D10A.5	GO:0005524
Y18D10A.5	GO:0004674
Y18D10A.5	GO:0016772
Y18D10A.5	GO:0007166
Y18D10A.5	GO:0030334
Y18D10A.5	GO:0016020
Y18D10A.5	GO:0016021
Y18D10A.5	GO:0004888
W02A11.8	GO:0005515
C41G7.7	
F30F8.2	GO:0006541
F30F8.2	GO:0016787
F30F8.2	GO:0005515
F30F8.2	GO:0004359
ZK39.8	GO:0007155
ZK39.8	GO:0040035
ZK39.8	GO:0050808
ZK39.8	GO:0007271
ZK39.8	GO:0035418
ZK39.8	GO:0040039
ZK39.8	GO:0007411
ZK39.8	GO:0001764
ZK39.8	GO:0031012
ZK39.8	GO:0030054
ZK39.8	GO:0005604
ZK39.8	GO:0005198
ZK39.8	GO:0030246
Y34D9B.1	GO:0001944
Y34D9B.1	GO:0007420
Y34D9B.1	GO:0008406
Y34D9B.1	GO:0009790
