ensembl_gene_id	wormbase_gene
T24D1.1	WBGene00005023
F35C12.2	WBGene00003569
W04A8.1	WBGene00012236
T05F1.7	WBGene00011492
Y18D10A.5	WBGene00001746
W02A11.8	WBGene00012196
C41G7.7	WBGene00008064
F30F8.2	WBGene00009271
ZK39.8	WBGene00013933
Y34D9B.1	WBGene00003238
F40E3.6	WBGene00018233
Y53C10A.10	WBGene00013138
W03D8.2	WBGene00020985
C36B1.1	WBGene00000527
C09D4.1	WBGene00015632
B0207.4	WBGene00000099
K09H9.2	WBGene00019595
Y20F4.3	WBGene00021238
F47G6.1	WBGene00001115
F36A2.12	WBGene00009459
ZK1025.6	WBGene00014186
B0414.2	WBGene00004393
Y71F9AR.3	WBGene00022124
Y52B11A.3	WBGene00013123
Y47H9C.6	WBGene00000821
C43H8.1	WBGene00016621
H16D19.1	WBGene00010399
T27C10.8	WBGene00077519
Y106G6A.5	WBGene00013697
F55H12.3	WBGene00010134
F55F8.5	WBGene00018893
C26C6.9	WBGene00007743
M01A12.1	WBGene00000630
Y65B4BL.6	WBGene00022038
C27A12.5	WBGene00000429
F53B6.8	WBGene00009963
F32B5.3	WBGene00017977
Y23H5B.2	WBGene00021273
T22H2.1	WBGene00005524
F56H1.7	WBGene00045483
Y39G10AR.11	WBGene00021469
F49B2.3	WBGene00009863
F25H2.9	WBGene00003926
ZK973.6	WBGene00000140
Y105E8A.20	WBGene00013678
ZC328.1	WBGene00022591
W03F11.3	WBGene00021006
F36D1.23	WBGene00219287
Y71F9B.6	WBGene00022128
ZK1151.1	WBGene00006876
F55A3.3	WBGene00018849
E03H4.4	WBGene00008472
M04F3.3	WBGene00019769
C50F2.5	WBGene00016839
F36A2.10	WBGene00009457
C04F1.3	WBGene00002989
M01D7.1	WBGene00019706
F36D1.9	WBGene00009468
T26E3.2	WBGene00003578
ZK1225.2	WBGene00014236
F56G4.4	WBGene00010159
D2005.3	WBGene00008398
T22C1.3	WBGene00011914
C54G4.2	WBGene00008312
W04C9.4	WBGene00021026
Y51F10.3	WBGene00021764
H27M09.5	WBGene00019248
F46F11.9	WBGene00018512
Y54E5A.7	WBGene00013202
F57C9.7	WBGene00019013
Y106G6D.6	WBGene00013702
C34G6.2	WBGene00016419
W10C8.5	WBGene00021128
F36H2.3	WBGene00009500
C04F12.9	WBGene00007303
Y71F9AL.9	WBGene00022114
C01H6.2	WBGene00007252
T28B8.3	WBGene00012114
F41D3.7	WBGene00009612
F13G3.11	WBGene00008769
T23B3.4	WBGene00020712
F12B6.3	WBGene00017399
B0205.9	WBGene00015023
C01F4.2	WBGene00015303
K04G2.7	WBGene00010566
T03F1.3	WBGene00020185
W05F2.7	WBGene00021039
Y47G6A.32	WBGene00044437
F45H11.2	WBGene00003587
