ensembl_gene_id	uniprot_swissprot
T24D1.1	
F35C12.2	
W04A8.1	
T05F1.7	
Y18D10A.5	GSK3_CAEEL
W02A11.8	
C41G7.7	YE3O_CAEEL
F30F8.2	GLSB_CAEEL
ZK39.8	
Y34D9B.1	
F40E3.6	
Y53C10A.10	
W03D8.2	
C36B1.1	
C09D4.1	YC91_CAEEL
C09D4.1	
B0207.4	AIR2_CAEEL
K09H9.2	
Y20F4.3	
F47G6.1	DTN1_CAEEL
F36A2.12	
ZK1025.6	
B0414.2	
Y71F9AR.3	
Y52B11A.3	
Y47H9C.6	
C43H8.1	ARCH_CAEEL
H16D19.1	
T27C10.8	
Y106G6A.5	DTBP1_CAEEL
Y106G6A.5	
F55H12.3	
F55F8.5	WDR12_CAEEL
C26C6.9	
M01A12.1	
Y65B4BL.6	
C27A12.5	
F53B6.8	
F32B5.3	
Y23H5B.2	
T22H2.1	
F56H1.7	
Y39G10AR.11	
F49B2.3	
F25H2.9	PSA5_CAEEL
ZK973.6	ANC1_CAEEL
Y105E8A.20	
ZC328.1	
W03F11.3	
F36D1.23	
Y71F9B.6	
ZK1151.1	
F55A3.3	SPT16_CAEEL
E03H4.4	
M04F3.3	
C50F2.5	
F36A2.10	
C04F1.3	
M01D7.1	
F36D1.9	
T26E3.2	NDX1_CAEEL
ZK1225.2	
F56G4.4	
D2005.3	YRGK_CAEEL
T22C1.3	
C54G4.2	
W04C9.4	
Y51F10.3	
H27M09.5	
F46F11.9	
Y54E5A.7	
F57C9.7	
Y106G6D.6	
C34G6.2	
W10C8.5	
F36H2.3	
C04F12.9	
Y71F9AL.9	
C01H6.2	
T28B8.3	
F41D3.7	
F13G3.11	
T23B3.4	
F12B6.3	
B0205.9	
C01F4.2	
K04G2.7	
T03F1.3	PGK_CAEEL
W05F2.7	
Y47G6A.32	
F45H11.2	NEDD8_CAEEL
C37A5.8	
T23G11.1	
Y73E7A.3	
F28H1.2	
ZC308.1	
ZC308.1	GLD2_CAEEL
F33H2.2	
T04D3.5	
F52B5.5	CEP1_CAEEL
F52B5.5	
F35E2.1	
K04G2.3	
W05H12.2	
ZK909.3	
F33D11.3	
F02E9.3	
F14B6.3	
B0379.4	
F32B5.2	
T08G11.1	
C46H11.4	
Y110A7A.9	
F26H9.8	
F48C1.3	
Y37F4.4	
T06D10.1	
CC4.3	
T15D6.11	
Y54E5A.1	
F29D10.2	
F32H2.8	
F59C6.16	
W02B9.1	
W02B9.1	HMR1_CAEEL
F53G12.7	
K02F2.3	
F36A2.9	
F47G4.6	
E01A2.10	
T27A3.4	
C17H1.5	
Y44E3A.2	
C30F12.4	
Y105E8A.23	
F26B1.2	
T10E9.7	
Y39G10AR.18	
F30F8.1	
F49D11.7	
F43G9.2	
F37E3.3	
Y47G6A.7	
R06C1.4	
T09E11.1	
F45H11.3	
F28D9.2	
F10G8.3	NPP17_CAEEL
ZC334.7	
C37A2.3	
T21G5.4	
T15D6.6	NHR77_CAEEL
M01G12.12	
C16C2.1	HM05_CAEEL
Y63D3A.10	
F39B2.4	MED23_CAEEL
F39B2.4	
C01A2.6	
T21E12.3	
K04F10.6	
F16D3.4	
K07A1.9	
Y47G6A.5	
Y39G10AR.2	ZWILC_CAEEL
Y39G10AR.2	
ZK1053.7	
K07A12.6	
C49A1.10	
Y71A12C.1	
M04F3.4	
Y34D9A.7	
F08A8.8	
F36D1.12	
C15A11.7	
W02D3.5	FABP6_CAEEL
R06C7.8	
F36F2.2	
F54C1.2	DOM3Z_CAEEL
F58D5.4	
K07G5.6	
F36D1.5	
F27D4.1	ETFA_CAEEL
H26D21.2	
T22H2.6	
F11C3.1	
Y95B8A.10	
Y95B8A.10	PDE6_CAEEL
Y76G2A.2	
B0511.11	
W04G5.4	
F25F8.1	
F52A8.3	
C12C8.3	
C12C8.3	LIN41_CAEEL
F48C1.8	
VH15N14R.1	
Y71G12B.1	
Y105E8A.27	
F07A5.2	
W02D9.4	
Y18H1A.10	
B0414.5	CPB3_CAEEL
K04F10.2	
T22C1.9	
T27F6.4	
Y65B4BR.4	
K02B12.4	AXLP1_CAEEL
K02B12.4	
Y18H1A.8	
R119.6	
T27F6.7	
K04F10.1	
T01A4.1	
K05C4.9	
B0511.9	
Y106G6H.16	
C45G3.5	
H31G24.4	
H31B20.1	
F25H5.2	
ZK849.5	YHS5_CAEEL
Y44E3B.1	
W09C3.7	
Y53H1A.2	
Y48G1BR.1	
Y71A12B.23	
K10D3.8	
B0041.2	
Y54E10BR.8	
C41D11.9	TM2D2_CAEEL
T19A6.4	
C55B7.11	
C35E7.3	
Y48G1C.13	
C17H1.13	
Y73E7A.8	
Y44E3A.6	
C24A11.1	
C36B1.11	
Y71A12B.6	
T23D8.2	
Y48G8AR.3	
C32E8.4	
C54G4.1	
C54G4.1	KS6A2_CAEEL
