ensembl_gene_id	uniprot_swissprot
ENSG00000099977	DOPD_HUMAN
ENSG00000099977	
ENSG00000152213	ARL11_HUMAN
ENSG00000101574	
ENSG00000225351	ZN311_HUMAN
ENSG00000101574	METL4_HUMAN
ENSG00000154065	ANR29_HUMAN
ENSG00000226463	OR2W1_HUMAN
ENSG00000154065	
ENSG00000233054	OR2B3_HUMAN
ENSG00000125877	ITPA_HUMAN
ENSG00000226271	OR2J3_HUMAN
ENSG00000263005	RASF1_HUMAN
ENSG00000225550	OR2J2_HUMAN
ENSG00000236927	O14J1_HUMAN
ENSG00000132952	USPL1_HUMAN
ENSG00000232289	O11A1_HUMAN
ENSG00000123179	EBPL_HUMAN
ENSG00000230505	O10C1_HUMAN
ENSG00000230505	
ENSG00000203618	GP1BB_HUMAN
ENSG00000261301	OR9A4_HUMAN
ENSG00000257318	
ENSG00000229125	OR2H1_HUMAN
ENSG00000224552	
ENSG00000262139	ANO4_HUMAN
ENSG00000234954	MAS1L_HUMAN
ENSG00000224552	ABHGA_HUMAN
ENSG00000262217	SC5A8_HUMAN
ENSG00000261530	
ENSG00000032742	IFT88_HUMAN
ENSG00000261530	BTC_HUMAN
ENSG00000032742	
ENSG00000160224	AIRE_HUMAN
ENSG00000160224	
ENSG00000261694	
ENSG00000134874	DZIP1_HUMAN
ENSG00000230141	DOA_HUMAN
ENSG00000230141	
ENSG00000261694	ADCK5_HUMAN
ENSG00000184058	TBX1_HUMAN
ENSG00000206282	RGL2_HUMAN
ENSG00000142168	SODC_HUMAN
ENSG00000142168	
ENSG00000099984	GST2_HUMAN
ENSG00000099984	
ENSG00000261180	CLC5A_HUMAN
ENSG00000261180	
ENSG00000206282	
ENSG00000262742	MCTP1_HUMAN
ENSG00000217442	SYCE3_HUMAN
ENSG00000262742	
ENSG00000236236	
ENSG00000236236	TENX_HUMAN
ENSG00000187939	DOC2B_HUMAN
ENSG00000185650	
ENSG00000258372	
ENSG00000262334	RPH3L_HUMAN
ENSG00000185650	TISB_HUMAN
ENSG00000132965	AL5AP_HUMAN
ENSG00000184674	
ENSG00000148828	
ENSG00000184674	GSTT1_HUMAN
ENSG00000164684	ZN704_HUMAN
ENSG00000164684	
ENSG00000262563	G6PC2_HUMAN
ENSG00000262563	
ENSG00000263141	PAXB1_HUMAN
ENSG00000263141	
ENSG00000261508	DHR11_HUMAN
ENSG00000125968	ID1_HUMAN
ENSG00000080986	NDC80_HUMAN
ENSG00000080986	
ENSG00000224264	
ENSG00000257679	
ENSG00000260696	T2R38_HUMAN
ENSG00000102802	MEDAG_HUMAN
ENSG00000102802	
ENSG00000262970	
ENSG00000229353	
ENSG00000262970	ACER3_HUMAN
ENSG00000229353	TENX_HUMAN
ENSG00000102158	MAGT1_HUMAN
ENSG00000102158	
ENSG00000071991	CAD19_HUMAN
ENSG00000071991	
ENSG00000088836	S4A11_HUMAN
ENSG00000213923	KC1E_HUMAN
ENSG00000175664	TEX26_HUMAN
ENSG00000175664	
ENSG00000213923	
ENSG00000131055	COX42_HUMAN
ENSG00000263140	CU049_HUMAN
ENSG00000263140	
ENSG00000261791	MGAL2_HUMAN
ENSG00000263155	MYZAP_HUMAN
ENSG00000261791	
ENSG00000263155	
ENSG00000205560	CPT1B_HUMAN
ENSG00000233561	
ENSG00000262938	CU062_HUMAN
ENSG00000262938	
ENSG00000205560	
ENSG00000159212	CLIC6_HUMAN
ENSG00000232569	GABR1_HUMAN
ENSG00000183963	
