ensembl_gene_id	description
T24D1.1	Protein SQV-5, isoform b  [Source:RefSeq peptide;Acc:NP_001021640]
F35C12.2	Protein NCX-4, isoform a  [Source:RefSeq peptide;Acc:NP_001040663]
W04A8.1	Protein W04A8.1, isoform a  [Source:RefSeq peptide;Acc:NP_493420]
T05F1.7	Protein T05F1.7  [Source:RefSeq peptide;Acc:NP_492560]
Y18D10A.5	Glycogen synthase kinase-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9U2Q9]
W02A11.8	Protein BATH-35  [Source:UniProtKB/TrEMBL;Acc:Q9XUM9]
C41G7.7	Uncharacterized protein C41G7.7  [Source:UniProtKB/Swiss-Prot;Acc:Q93364]
F30F8.2	Putative glutaminase F30F8.2  [Source:UniProtKB/Swiss-Prot;Acc:Q93650]
ZK39.8	Protein CLEC-99  [Source:RefSeq peptide;Acc:NP_492872]
Y34D9B.1	Protein MIG-1, isoform a  [Source:RefSeq peptide;Acc:NP_490796]
F40E3.6	Protein F40E3.6  [Source:RefSeq peptide;Acc:NP_491020]
Y53C10A.10	Protein Y53C10A.10  [Source:RefSeq peptide;Acc:NP_493042]
W03D8.2	Protein W03D8.2, isoform b  [Source:RefSeq peptide;Acc:NP_001249242]
C36B1.1	Protein CLE-1, isoform a  [Source:RefSeq peptide;Acc:NP_740896]
C09D4.1	Uncharacterized MFS-type transporter C09D4.1  [Source:UniProtKB/Swiss-Prot;Acc:O01735]
B0207.4	Aurora/IPL1-related protein kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:O01427]
K09H9.2	Protein K09H9.2  [Source:RefSeq peptide;Acc:NP_491109]
Y20F4.3	Protein GAP-3  [Source:RefSeq peptide;Acc:NP_490916]
F47G6.1	Dystrobrevin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y048]
F36A2.12	Protein F36A2.12  [Source:RefSeq peptide;Acc:NP_492388]
ZK1025.6	Protein NHR-244  [Source:RefSeq peptide;Acc:NP_492926]
B0414.2	Protein RNT-1  [Source:RefSeq peptide;Acc:NP_491679]
Y71F9AR.3	Protein Y71F9AR.3  [Source:RefSeq peptide;Acc:NP_491083]
Y52B11A.3	Protein Y52B11A.3, isoform a  [Source:RefSeq peptide;Acc:NP_001021784]
Y47H9C.6	Protein CSP-3  [Source:RefSeq peptide;Acc:NP_493011]
C43H8.1	Protein archease-like  [Source:UniProtKB/Swiss-Prot;Acc:Q9TZN1]
H16D19.1	Protein CLEC-15  [Source:RefSeq peptide;Acc:NP_493196]
T27C10.8	Protein T27C10.8  [Source:RefSeq peptide;Acc:NP_001122523]
Y106G6A.5	Dysbindin protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWQ1]
F55H12.3	Protein F55H12.3  [Source:RefSeq peptide;Acc:NP_492397]
F55F8.5	Ribosome biogenesis protein WDR12 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P91343]
C26C6.9	Protein C26C6.9  [Source:RefSeq peptide;Acc:NP_001021011]
M01A12.1	Protein COL-53  [Source:RefSeq peptide;Acc:NP_491651]
Y65B4BL.6	Protein Y65B4BL.6, isoform a  [Source:RefSeq peptide;Acc:NP_001122548]
C27A12.5	Protein CEH-2  [Source:RefSeq peptide;Acc:NP_491746]
F53B6.8	Protein FIPR-26  [Source:RefSeq peptide;Acc:NP_492406]
F32B5.3	Protein F32B5.3  [Source:RefSeq peptide;Acc:NP_491025]
Y23H5B.2	Protein Y23H5B.2  [Source:RefSeq peptide;Acc:NP_490995]
T22H2.1	Protein SRI-12  [Source:RefSeq peptide;Acc:NP_492980]
F56H1.7	Protein OXY-5  [Source:UniProtKB/TrEMBL;Acc:A7DT45]
Y39G10AR.11	Protein Y39G10AR.11  [Source:RefSeq peptide;Acc:NP_490953]
F49B2.3	Protein F49B2.3  [Source:RefSeq peptide;Acc:NP_493500]
F25H2.9	Proteasome subunit alpha type-5  [Source:UniProtKB/Swiss-Prot;Acc:Q95008]
ZK973.6	Nuclear anchorage protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4M4]
Y105E8A.20	Protein Y105E8A.20, isoform b  [Source:RefSeq peptide;Acc:NP_001129797]
ZC328.1	Protein CUTI-1  [Source:RefSeq peptide;Acc:NP_491844]
W03F11.3	Protein DCT-9  [Source:RefSeq peptide;Acc:NP_490944]
F36D1.23	Protein F36D1.23  [Source:RefSeq peptide;Acc:NP_001251608]
Y71F9B.6	Protein Y71F9B.6  [Source:RefSeq peptide;Acc:NP_491031]
ZK1151.1	Protein VAB-10, isoform g  [Source:RefSeq peptide;Acc:NP_001021859]
F55A3.3	FACT complex subunit spt-16  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5R9]
E03H4.4	Protein E03H4.4  [Source:RefSeq peptide;Acc:NP_493147]
M04F3.3	Protein M04F3.3  [Source:RefSeq peptide;Acc:NP_491444]
C50F2.5	Protein C50F2.5  [Source:RefSeq peptide;Acc:NP_491256]
F36A2.10	Protein F36A2.10  [Source:RefSeq peptide;Acc:NP_492386]
C04F1.3	Protein LIM-7  [Source:RefSeq peptide;Acc:NP_491668]
M01D7.1	Protein M01D7.1  [Source:RefSeq peptide;Acc:NP_490910]
F36D1.9	Protein F36D1.9  [Source:RefSeq peptide;Acc:NP_001021453]
T26E3.2	Putative nudix hydrolase 1  [Source:UniProtKB/Swiss-Prot;Acc:O45830]
ZK1225.2	Protein ZK1225.2  [Source:RefSeq peptide;Acc:NP_493314]
F56G4.4	Protein F56G4.4  [Source:RefSeq peptide;Acc:NP_492912]
D2005.3	Uncharacterized protein D2005.3  [Source:UniProtKB/Swiss-Prot;Acc:Q93408]
T22C1.3	Protein T22C1.3  [Source:RefSeq peptide;Acc:NP_492189]
C54G4.2	Protein C54G4.2  [Source:RefSeq peptide;Acc:NP_492203]
W04C9.4	Protein W04C9.4  [Source:RefSeq peptide;Acc:NP_490734]
Y51F10.3	Protein Y51F10.3  [Source:RefSeq peptide;Acc:NP_740795]
H27M09.5	Protein H27M09.5  [Source:RefSeq peptide;Acc:NP_491959]
F46F11.9	Protein F46F11.9, isoform a  [Source:RefSeq peptide;Acc:NP_491643]
Y54E5A.7	Protein Y54E5A.7, isoform a  [Source:RefSeq peptide;Acc:NP_001252408]
F57C9.7	Protein F57C9.7  [Source:RefSeq peptide;Acc:NP_491457]
Y106G6D.6	Protein Y106G6D.6  [Source:RefSeq peptide;Acc:NP_492669]
C34G6.2	Protein TYR-4  [Source:RefSeq peptide;Acc:NP_491709]
W10C8.5	Protein W10C8.5  [Source:RefSeq peptide;Acc:NP_491057]
F36H2.3	Protein F36H2.3, isoform a  [Source:RefSeq peptide;Acc:NP_001251038]
C04F12.9	Protein RNH-1.3  [Source:RefSeq peptide;Acc:NP_492581]
Y71F9AL.9	Protein Y71F9AL.9  [Source:RefSeq peptide;Acc:NP_491063]
C01H6.2	Protein C01H6.2  [Source:RefSeq peptide;Acc:NP_492036]
T28B8.3	Protein T28B8.3, isoform a  [Source:RefSeq peptide;Acc:NP_001040692]
