ensembl_gene_id	description
FBgn0031208	
FBgn0002121	lethal (2) giant larvae [Source:FlyBase gene name;Acc:FBgn0002121]
FBgn0031209	Ionotropic receptor 21a [Source:FlyBase gene name;Acc:FBgn0031209]
FBgn0263584	
FBgn0051973	Chitin deacetylase-like 5 [Source:FlyBase gene name;Acc:FBgn0051973]
FBgn0067779	debra [Source:FlyBase gene name;Acc:FBgn0067779]
FBgn0031213	galectin [Source:FlyBase gene name;Acc:FBgn0031213]
FBgn0031214	
FBgn0002931	net [Source:FlyBase gene name;Acc:FBgn0002931]
FBgn0031216	
FBgn0031217	
FBgn0026787	Na[+]/H[+] hydrogen exchanger 1 [Source:FlyBase gene name;Acc:FBgn0026787]
FBgn0005278	S-adenosylmethionine Synthetase [Source:FlyBase gene name;Acc:FBgn0005278]
FBgn0031228	
FBgn0031219	
FBgn0031220	
FBgn0025683	
FBgn0001142	Glutamine synthetase 1 [Source:FlyBase gene name;Acc:FBgn0001142]
FBgn0051975	
FBgn0051976	
FBgn0051974	
FBgn0031224	
FBgn0259818	
FBgn0031227	
FBgn0031229	
FBgn0053635	
FBgn0016977	split ends [Source:FlyBase gene name;Acc:FBgn0016977]
FBgn0031231	mitochondrial ribosomal protein L10 [Source:FlyBase gene name;Acc:FBgn0031231]
FBgn0031232	
FBgn0031233	
FBgn0086902	kismet [Source:FlyBase gene name;Acc:FBgn0086902]
FBgn0263465	
FBgn0031235	
FBgn0262252	mir-965 stem loop [Source:FlyBase gene name;Acc:FBgn0262252]
FBgn0022246	RNaseP protein p30 [Source:FlyBase gene name;Acc:FBgn0022246]
FBgn0031238	
FBgn0031239	
FBgn0031240	
FBgn0086912	mushroom body miniature [Source:FlyBase gene name;Acc:FBgn0086912]
FBgn0086856	
FBgn0086855	
FBgn0003444	smoothened [Source:FlyBase gene name;Acc:FBgn0003444]
FBgn0031244	
FBgn0031245	
FBgn0025686	
FBgn0031247	
FBgn0017457	U2 small nuclear riboprotein auxiliary factor 38 [Source:FlyBase gene name;Acc:FBgn0017457]
FBgn0024352	Hsp70/Hsp90 organizing protein homolog [Source:FlyBase gene name;Acc:FBgn0024352]
FBgn0020622	Pi3K21B [Source:FlyBase gene name;Acc:FBgn0020622]
FBgn0004611	Phospholipase C at 21C [Source:FlyBase gene name;Acc:FBgn0004611]
FBgn0263872	
FBgn0031248	
FBgn0031249	
FBgn0053127	
FBgn0264086	
FBgn0051921	
FBgn0031250	Equilibrative nucleoside transporter 1 [Source:FlyBase gene name;Acc:FBgn0031250]
FBgn0000061	aristaless [Source:FlyBase gene name;Acc:FBgn0000061]
FBgn0263871	
FBgn0031251	
FBgn0003278	RNA polymerase I 135kD subunit [Source:FlyBase gene name;Acc:FBgn0003278]
FBgn0263350	alpha-Adaptin [Source:FlyBase gene name;Acc:FBgn0263350]
FBgn0263933	ebi [Source:FlyBase gene name;Acc:FBgn0263933]
FBgn0031252	
FBgn0002593	Ribosomal protein LP1 [Source:FlyBase gene name;Acc:FBgn0002593]
FBgn0031253	
FBgn0031254	
FBgn0031255	BBS8 [Source:FlyBase gene name;Acc:FBgn0031255]
FBgn0004583	expanded [Source:FlyBase gene name;Acc:FBgn0004583]
FBgn0263870	
FBgn0015924	croquemort [Source:FlyBase gene name;Acc:FBgn0015924]
FBgn0031256	
FBgn0262510	
FBgn0031257	
FBgn0031258	
FBgn0027592	Mediator complex subunit 15 [Source:FlyBase gene name;Acc:FBgn0027592]
FBgn0003963	u-shaped [Source:FlyBase gene name;Acc:FBgn0003963]
FBgn0043364	cabut [Source:FlyBase gene name;Acc:FBgn0043364]
FBgn0010602	lesswright [Source:FlyBase gene name;Acc:FBgn0010602]
FBgn0031260	Signal peptide protease [Source:FlyBase gene name;Acc:FBgn0031260]
FBgn0031261	nicotinic acetylcholine receptor beta 21C [Source:FlyBase gene name;Acc:FBgn0031261]
FBgn0005660	Ets at 21C [Source:FlyBase gene name;Acc:FBgn0005660]
FBgn0260933	reduced mechanoreceptor potential A [Source:FlyBase gene name;Acc:FBgn0260933]
FBgn0031263	
FBgn0031264	
FBgn0031265	
FBgn0021874	Notchless [Source:FlyBase gene name;Acc:FBgn0021874]
FBgn0031266	
FBgn0031267	Ipk2 [Source:FlyBase gene name;Acc:FBgn0031267]
FBgn0031268	coiled [Source:FlyBase gene name;Acc:FBgn0031268]
FBgn0013323	Prothoracicotropic hormone [Source:FlyBase gene name;Acc:FBgn0013323]
FBgn0023489	PvuII-PstI homology 13 [Source:FlyBase gene name;Acc:FBgn0023489]
FBgn0010323	Goosecoid [Source:FlyBase gene name;Acc:FBgn0010323]
FBgn0031270	
FBgn0263657	
FBgn0263658	
FBgn0040106	lectin-21Cb [Source:FlyBase gene name;Acc:FBgn0040106]
FBgn0040107	lectin-21Ca [Source:FlyBase gene name;Acc:FBgn0040107]
FBgn0031273	
FBgn0000497	dachsous [Source:FlyBase gene name;Acc:FBgn0000497]
FBgn0011244	Heat shock protein 60 related [Source:FlyBase gene name;Acc:FBgn0011244]
FBgn0026438	Excitatory amino acid transporter 2 [Source:FlyBase gene name;Acc:FBgn0026438]
FBgn0031275	metabotropic GABA-B receptor subtype 3 [Source:FlyBase gene name;Acc:FBgn0031275]
FBgn0031276	
FBgn0040725	
FBgn0031277	
FBgn0041250	Gustatory receptor 21a [Source:FlyBase gene name;Acc:FBgn0041250]
FBgn0031279	
FBgn0000442	cGMP-dependent protein kinase 21D [Source:FlyBase gene name;Acc:FBgn0000442]
FBgn0051658	Nnf1b [Source:FlyBase gene name;Acc:FBgn0051658]
FBgn0086130	KH1 [Source:FlyBase gene name;Acc:FBgn0086130]
FBgn0031281	SAGA factor-like TAF6 [Source:FlyBase gene name;Acc:FBgn0031281]
FBgn0031282	Peroxin 12 [Source:FlyBase gene name;Acc:FBgn0031282]
FBgn0031283	
FBgn0031284	
FBgn0015621	Clipper [Source:FlyBase gene name;Acc:FBgn0015621]
FBgn0031285	
FBgn0031286	
FBgn0010583	dreadlocks [Source:FlyBase gene name;Acc:FBgn0010583]
FBgn0020304	drongo [Source:FlyBase gene name;Acc:FBgn0020304]
FBgn0031287	
FBgn0020545	kraken [Source:FlyBase gene name;Acc:FBgn0020545]
FBgn0031288	
FBgn0262177	mir-375 stem loop [Source:FlyBase gene name;Acc:FBgn0262177]
FBgn0031289	
FBgn0029095	arouser [Source:FlyBase gene name;Acc:FBgn0029095]
FBgn0086031	
FBgn0020305	dribble [Source:FlyBase gene name;Acc:FBgn0020305]
FBgn0053526	PNUTS [Source:FlyBase gene name;Acc:FBgn0053526]
FBgn0002936	neither inactivation nor afterpotential A [Source:FlyBase gene name;Acc:FBgn0002936]
FBgn0031292	
FBgn0002563	Larval serum protein 1 beta [Source:FlyBase gene name;Acc:FBgn0002563]
FBgn0003916	small nuclear RNA U1 at 21D [Source:FlyBase gene name;Acc:FBgn0003916]
FBgn0046113	Glutamate receptor IIC [Source:FlyBase gene name;Acc:FBgn0046113]
FBgn0028481	
FBgn0031294	IA-2 ortholog [Source:FlyBase gene name;Acc:FBgn0031294]
FBgn0031295	
FBgn0031296	
FBgn0003310	Star [Source:FlyBase gene name;Acc:FBgn0003310]
FBgn0015905	asteroid [Source:FlyBase gene name;Acc:FBgn0015905]
FBgn0031298	Autophagy-specific gene 4 [Source:FlyBase gene name;Acc:FBgn0031298]
FBgn0031299	
FBgn0261938	mitochondrial RNA polymerase [Source:FlyBase gene name;Acc:FBgn0261938]
FBgn0031301	
FBgn0031302	
FBgn0016926	Pinocchio [Source:FlyBase gene name;Acc:FBgn0016926]
FBgn0031304	
FBgn0031305	Iris [Source:FlyBase gene name;Acc:FBgn0031305]
FBgn0031306	
FBgn0031307	Major Facilitator Superfamily Transporter 3 [Source:FlyBase gene name;Acc:FBgn0031307]
FBgn0031308	
FBgn0031309	Tfb4 [Source:FlyBase gene name;Acc:FBgn0031309]
FBgn0031310	
FBgn0261458	capulet [Source:FlyBase gene name;Acc:FBgn0261458]
FBgn0264267	
FBgn0031312	Transport and Golgi organization 14 [Source:FlyBase gene name;Acc:FBgn0031312]
FBgn0031313	
FBgn0031314	
FBgn0031315	
FBgn0024314	Phospholipase A2 activator protein [Source:FlyBase gene name;Acc:FBgn0024314]
FBgn0051922	
FBgn0031317	
FBgn0031318	
FBgn0031319	
FBgn0031320	
FBgn0031321	tRNA-guanine transglycosylase [Source:FlyBase gene name;Acc:FBgn0031321]
FBgn0031322	
FBgn0031323	
FBgn0263080	
FBgn0263081	
FBgn0040723	
FBgn0031324	
FBgn0262944	
FBgn0259229	
FBgn0031327	
FBgn0041097	robo3 [Source:FlyBase gene name;Acc:FBgn0041097]
FBgn0011294	antennal protein 5 [Source:FlyBase gene name;Acc:FBgn0011294]
FBgn0031331	
FBgn0053923	
FBgn0053922	
FBgn0026141	Cytoplasmic dynein light chain 2 [Source:FlyBase gene name;Acc:FBgn0026141]
FBgn0031332	
FBgn0031333	
FBgn0051924	
FBgn0031335	
FBgn0051659	
FBgn0053126	Neural Lazarillo [Source:FlyBase gene name;Acc:FBgn0053126]
FBgn0031337	
FBgn0002543	leak [Source:FlyBase gene name;Acc:FBgn0002543]
FBgn0263320	
FBgn0003926	small nuclear RNA U3 at 22A [Source:FlyBase gene name;Acc:FBgn0003926]
FBgn0263321	
FBgn0051928	
FBgn0053128	
FBgn0051926	
FBgn0051661	
FBgn0031343	
FBgn0031344	
FBgn0031345	
FBgn0001174	halo [Source:FlyBase gene name;Acc:FBgn0001174]
FBgn0026398	Odorant receptor 22a [Source:FlyBase gene name;Acc:FBgn0026398]
FBgn0026397	Odorant receptor 22b [Source:FlyBase gene name;Acc:FBgn0026397]
FBgn0261509	hattifattener [Source:FlyBase gene name;Acc:FBgn0261509]
FBgn0031347	
FBgn0051935	
FBgn0031351	
FBgn0021906	Rieske iron-sulfur protein [Source:FlyBase gene name;Acc:FBgn0021906]
FBgn0086758	Chronologically inappropriate morphogenesis [Source:FlyBase gene name;Acc:FBgn0086758]
FBgn0011570	capping protein beta [Source:FlyBase gene name;Acc:FBgn0011570]
FBgn0031356	
FBgn0031357	mitochondrial ribosomal protein L48 [Source:FlyBase gene name;Acc:FBgn0031357]
