ensembl_gene_id	description
ENSMUSG00000020707	ring finger protein 135 [Source:MGI Symbol;Acc:MGI:1919206]
ENSMUSG00000078936	trafficking protein particle complex 13 [Source:MGI Symbol;Acc:MGI:1914225]
ENSMUSG00000035459	stabilin 2 [Source:MGI Symbol;Acc:MGI:2178743]
ENSMUSG00000028294	RIKEN cDNA 1700003M02 gene [Source:MGI Symbol;Acc:MGI:1916579]
ENSMUSG00000021712	tripartite motif-containing 23 [Source:MGI Symbol;Acc:MGI:1933161]
ENSMUSG00000047904	somatostatin receptor 2 [Source:MGI Symbol;Acc:MGI:98328]
ENSMUSG00000028907	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast) [Source:MGI Symbol;Acc:MGI:1914455]
ENSMUSG00000018661	component of oligomeric golgi complex 1 [Source:MGI Symbol;Acc:MGI:1333873]
ENSMUSG00000025153	fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]
ENSMUSG00000017686	ras homolog gene family, member T1 [Source:MGI Symbol;Acc:MGI:1926078]
ENSMUSG00000060438	ribosomal protein S10, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644167]
ENSMUSG00000038619	endosulfine alpha [Source:MGI Symbol;Acc:MGI:1891189]
ENSMUSG00000038612	myeloid cell leukemia sequence 1 [Source:MGI Symbol;Acc:MGI:101769]
ENSMUSG00000021713	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:MGI Symbol;Acc:MGI:2443069]
ENSMUSG00000032643	four and a half LIM domains 3 [Source:MGI Symbol;Acc:MGI:1341092]
ENSMUSG00000071015	predicted gene 136 [Source:MGI Symbol;Acc:MGI:2684982]
ENSMUSG00000028295	small integral membrane protein 8 [Source:MGI Symbol;Acc:MGI:1913541]
ENSMUSG00000028902	splicing factor 3a, subunit 3 [Source:MGI Symbol;Acc:MGI:1922312]
ENSMUSG00000026860	SH3-domain GRB2-like endophilin B2 [Source:MGI Symbol;Acc:MGI:2385131]
ENSMUSG00000006522	inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]
ENSMUSG00000039967	zinc finger protein 292 [Source:MGI Symbol;Acc:MGI:1353423]
ENSMUSG00000015850	ADAMTS-like 4 [Source:MGI Symbol;Acc:MGI:2389008]
ENSMUSG00000028298	glycoprotein hormones, alpha subunit [Source:MGI Symbol;Acc:MGI:88390]
ENSMUSG00000073910	MOB kinase activator 3B [Source:MGI Symbol;Acc:MGI:2664539]
ENSMUSG00000042993	interferon kappa [Source:MGI Symbol;Acc:MGI:2683287]
ENSMUSG00000021714	centromere protein K [Source:MGI Symbol;Acc:MGI:1926210]
ENSMUSG00000026988	WD repeat, SAM and U-box domain containing 1 [Source:MGI Symbol;Acc:MGI:1919387]
ENSMUSG00000028300	RIKEN cDNA 3110043O21 gene [Source:MGI Symbol;Acc:MGI:1920455]
ENSMUSG00000046169	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6 [Source:MGI Symbol;Acc:MGI:1347348]
ENSMUSG00000017692	rhomboid, veinlet-like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2179276]
ENSMUSG00000006529	inter-alpha trypsin inhibitor, heavy chain 1 [Source:MGI Symbol;Acc:MGI:96618]
ENSMUSG00000028108	extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060]
ENSMUSG00000057181	RIKEN cDNA 5730455P16 gene [Source:MGI Symbol;Acc:MGI:1917841]
ENSMUSG00000028894	inositol polyphosphate-5-phosphatase B [Source:MGI Symbol;Acc:MGI:103257]
ENSMUSG00000021715	CWC27 spliceosome-associated protein homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914535]
ENSMUSG00000045083	leucine rich repeat and Ig domain containing 2 [Source:MGI Symbol;Acc:MGI:2442298]
ENSMUSG00000034645	zyg-11 family member A, cell cycle regulator [Source:MGI Symbol;Acc:MGI:2446208]
ENSMUSG00000041629	family with sequence similarity 104, member A [Source:MGI Symbol;Acc:MGI:106351]
ENSMUSG00000041623	DNA segment, Chr 11, Wayne State University 47, expressed [Source:MGI Symbol;Acc:MGI:106356]
ENSMUSG00000021716	splicing regulatory glutamine/lysine-rich protein 1interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914538]
ENSMUSG00000026987	bromodomain adjacent to zinc finger domain, 2B [Source:MGI Symbol;Acc:MGI:2442782]
ENSMUSG00000034636	zyg-ll family member B, cell cycle regulator [Source:MGI Symbol;Acc:MGI:2685277]
ENSMUSG00000017421	zinc finger protein 207 [Source:MGI Symbol;Acc:MGI:1340045]
ENSMUSG00000048445	coiled-coil domain containing 57 [Source:MGI Symbol;Acc:MGI:1918526]
ENSMUSG00000018727	cleavage and polyadenylation specific factor 4-like [Source:MGI Symbol;Acc:MGI:1277182]
ENSMUSG00000028287	RIKEN cDNA 1700009N14 gene [Source:MGI Symbol;Acc:MGI:1922721]
ENSMUSG00000028405	aconitase 1 [Source:MGI Symbol;Acc:MGI:87879]
ENSMUSG00000021918	NIMA (never in mitosis gene a)-related expressed kinase 4 [Source:MGI Symbol;Acc:MGI:1344404]
ENSMUSG00000047129	RIKEN cDNA 1700113H08 gene [Source:MGI Symbol;Acc:MGI:1923890]
ENSMUSG00000095882	predicted gene 10764 [Source:MGI Symbol;Acc:MGI:3641850]
ENSMUSG00000020052	achaete-scute complex homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:96919]
ENSMUSG00000028107	threonyl-tRNA synthetase 2, mitochondrial (putative) [Source:MGI Symbol;Acc:MGI:1919057]
ENSMUSG00000042655	family with sequence similarity 159, member B [Source:MGI Symbol;Acc:MGI:1925053]
ENSMUSG00000021719	regulator of G-protein signalling 7 binding protein [Source:MGI Symbol;Acc:MGI:106334]
ENSMUSG00000020051	phenylalanine hydroxylase [Source:MGI Symbol;Acc:MGI:97473]
ENSMUSG00000021718	RIKEN cDNA 4933425L06 gene [Source:MGI Symbol;Acc:MGI:1914013]
ENSMUSG00000028890	metal response element binding transcription factor 1 [Source:MGI Symbol;Acc:MGI:101786]
ENSMUSG00000026858	family with sequence similarity 73, member B [Source:MGI Symbol;Acc:MGI:1922035]
ENSMUSG00000017428	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 [Source:MGI Symbol;Acc:MGI:1916327]
ENSMUSG00000021917	signal peptidase complex subunit 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916269]
ENSMUSG00000021720	ring finger protein 180 [Source:MGI Symbol;Acc:MGI:1919066]
ENSMUSG00000021721	5-hydroxytryptamine (serotonin) receptor 1A [Source:MGI Symbol;Acc:MGI:96273]
ENSMUSG00000059877	DPH3B, KTI11 homolog B (S. cerevisiae), pseudogene [Source:MGI Symbol;Acc:MGI:3647154]
ENSMUSG00000042590	importin 11 [Source:MGI Symbol;Acc:MGI:2442377]
ENSMUSG00000040296	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:2442858]
ENSMUSG00000028106	regulation of nuclear pre-mRNA domain containing 2 [Source:MGI Symbol;Acc:MGI:1922387]
ENSMUSG00000041598	CDC42 effector protein (Rho GTPase binding) 4 [Source:MGI Symbol;Acc:MGI:1929760]
ENSMUSG00000048895	cyclin-dependent kinase 5, regulatory subunit 1 (p35) [Source:MGI Symbol;Acc:MGI:101764]
ENSMUSG00000048351	Sel1 repeat containing 1 [Source:MGI Symbol;Acc:MGI:1917143]
ENSMUSG00000048701	coiled-coil domain containing 6 [Source:MGI Symbol;Acc:MGI:1923801]
ENSMUSG00000035441	myosin ID [Source:MGI Symbol;Acc:MGI:107728]
ENSMUSG00000015748	PRP3 pre-mRNA processing factor 3 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1918017]
ENSMUSG00000036822	topoisomerase I binding, arginine/serine-rich [Source:MGI Symbol;Acc:MGI:2146189]
ENSMUSG00000071014	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6 [Source:MGI Symbol;Acc:MGI:2684983]
ENSMUSG00000046593	transmembrane protein 215 [Source:MGI Symbol;Acc:MGI:2444167]
ENSMUSG00000028411	aprataxin [Source:MGI Symbol;Acc:MGI:1913658]
ENSMUSG00000041592	sidekick homolog 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443847]
ENSMUSG00000035413	transmembrane protein 98 [Source:MGI Symbol;Acc:MGI:1923457]
ENSMUSG00000028410	DnaJ (Hsp40) homolog, subfamily A, member 1 [Source:MGI Symbol;Acc:MGI:1270129]
ENSMUSG00000078933	leucine rich repeat containing 70 [Source:MGI Symbol;Acc:MGI:5317337]
ENSMUSG00000059816	family with sequence similarity 159, member A [Source:MGI Symbol;Acc:MGI:3651644]
ENSMUSG00000053184	sperm acrosome associated 3 [Source:MGI Symbol;Acc:MGI:1922872]
ENSMUSG00000026856	dolichyl pyrophosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914093]
ENSMUSG00000020704	acid-sensing (proton-gated) ion channel 2 [Source:MGI Symbol;Acc:MGI:1100867]
ENSMUSG00000020703	RIKEN cDNA 5530401A14 gene [Source:MGI Symbol;Acc:MGI:1918638]
ENSMUSG00000028409	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1915546]
ENSMUSG00000092157	predicted gene, 17268 [Source:MGI Symbol;Acc:MGI:4936902]
ENSMUSG00000035385	chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]
ENSMUSG00000035373	chemokine (C-C motif) ligand 7 [Source:MGI Symbol;Acc:MGI:99512]
ENSMUSG00000020676	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]
ENSMUSG00000035352	chemokine (C-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:108224]
ENSMUSG00000009185	chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878]
ENSMUSG00000028413	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:95705]
ENSMUSG00000020702	chemokine (C-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:98258]
ENSMUSG00000020701	transmembrane protein 132E [Source:MGI Symbol;Acc:MGI:2685490]
