ensembl_gene_id	description
ENSG00000266142	
ENSG00000237050	TRIM31 antisense RNA 1 [Source:HGNC Symbol;Acc:39761]
ENSG00000263589	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]
ENSG00000226175	poly(A) binding protein interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:18240]
ENSG00000240924	HLA complex group 17 (non-protein coding) [Source:HGNC Symbol;Acc:31339]
ENSG00000227342	long intergenic non-protein coding RNA 307 [Source:HGNC Symbol;Acc:16727]
ENSG00000231928	tripartite motif containing 26B, pseudogene [Source:HGNC Symbol;Acc:31338]
ENSG00000225267	ribosomal protein L8 pseudogene 2 [Source:HGNC Symbol;Acc:17220]
ENSG00000257399	
ENSG00000257451	
ENSG00000239618	major histocompatibility complex, class I, L (pseudogene) [Source:HGNC Symbol;Acc:4970]
ENSG00000263866	hsa-mir-877 [Source:miRBase;Acc:MI0005561]
ENSG00000099977	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:2732]
ENSG00000230660	HLA complex group 18 (non-protein coding) [Source:HGNC Symbol;Acc:31337]
ENSG00000264351	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]
ENSG00000262915	
ENSG00000250973	keratin associated protein 13-6, pseudogene [Source:HGNC Symbol;Acc:18930]
ENSG00000265007	microRNA 4327 [Source:HGNC Symbol;Acc:38355]
ENSG00000263188	cadherin 12 (N-cadherin 2) pseudogene 4 [Source:HGNC Symbol;Acc:37700]
ENSG00000233640	keratin associated protein 13-5, pseudogene [Source:HGNC Symbol;Acc:18929]
ENSG00000262641	
ENSG00000152213	ADP-ribosylation factor-like 11 [Source:HGNC Symbol;Acc:24046]
ENSG00000101574	methyltransferase like 4 [Source:HGNC Symbol;Acc:24726]
ENSG00000225351	zinc finger protein 311 [Source:HGNC Symbol;Acc:13847]
ENSG00000262417	
ENSG00000263095	
ENSG00000264822	
ENSG00000263349	
ENSG00000237156	prothymosin, alpha pseudogene 1 (gene sequence 26) [Source:HGNC Symbol;Acc:9624]
ENSG00000263550	
ENSG00000125877	inosine triphosphatase (nucleoside triphosphate pyrophosphatase) [Source:HGNC Symbol;Acc:6176]
ENSG00000264498	
ENSG00000233091	ribosomal protein L7 pseudogene 4 [Source:HGNC Symbol;Acc:21634]
ENSG00000154065	ankyrin repeat domain 29 [Source:HGNC Symbol;Acc:27110]
ENSG00000261989	
ENSG00000229681	MDC1 antisense RNA 1 [Source:HGNC Symbol;Acc:39764]
ENSG00000262726	
ENSG00000262274	high mobility group nucleosome binding domain 1 pseudogene 12 [Source:HGNC Symbol;Acc:39356]
ENSG00000263950	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000226463	olfactory receptor, family 2, subfamily W, member 1 [Source:HGNC Symbol;Acc:8281]
ENSG00000233054	olfactory receptor, family 2, subfamily B, member 3 [Source:HGNC Symbol;Acc:8238]
ENSG00000226271	olfactory receptor, family 2, subfamily J, member 3 [Source:HGNC Symbol;Acc:8261]
ENSG00000263005	Ras association (RalGDS/AF-6) domain family member 1 [Source:HGNC Symbol;Acc:9882]
ENSG00000224552	abhydrolase domain containing 16A [Source:HGNC Symbol;Acc:13921]
ENSG00000225550	olfactory receptor, family 2, subfamily J, member 2 [Source:HGNC Symbol;Acc:8260]
ENSG00000237841	keratin associated protein 19-9, pseudogene [Source:HGNC Symbol;Acc:18950]
ENSG00000132952	ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:20294]
ENSG00000235312	keratin associated protein 19-10, pseudogene [Source:HGNC Symbol;Acc:18951]
ENSG00000236927	olfactory receptor, family 14, subfamily J, member 1 [Source:HGNC Symbol;Acc:13971]
ENSG00000218125	
ENSG00000236612	keratin associated protein 19-11, pseudogene [Source:HGNC Symbol;Acc:18952]
ENSG00000256818	
ENSG00000123179	emopamil binding protein-like [Source:HGNC Symbol;Acc:18061]
ENSG00000264417	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
ENSG00000232289	olfactory receptor, family 11, subfamily A, member 1 [Source:HGNC Symbol;Acc:8176]
ENSG00000224923	HLA complex group 20 (non-protein coding) [Source:HGNC Symbol;Acc:31334]
ENSG00000264307	
ENSG00000230505	olfactory receptor, family 10, subfamily C, member 1 [Source:HGNC Symbol;Acc:8165]
ENSG00000203618	glycoprotein Ib (platelet), beta polypeptide [Source:HGNC Symbol;Acc:4440]
ENSG00000261301	olfactory receptor, family 9, subfamily A, member 4 [Source:HGNC Symbol;Acc:15095]
ENSG00000257318	
ENSG00000032742	intraflagellar transport 88 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:20606]
ENSG00000229125	olfactory receptor, family 2, subfamily H, member 1 [Source:HGNC Symbol;Acc:8252]
ENSG00000262139	anoctamin 4 [Source:HGNC Symbol;Acc:23837]
ENSG00000234954	MAS1 oncogene-like [Source:HGNC Symbol;Acc:13961]
ENSG00000160224	autoimmune regulator [Source:HGNC Symbol;Acc:360]
ENSG00000262217	solute carrier family 5 (iodide transporter), member 8 [Source:HGNC Symbol;Acc:19119]
ENSG00000261867	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSG00000263114	
ENSG00000261530	betacellulin [Source:HGNC Symbol;Acc:1121]
ENSG00000260666	
ENSG00000134874	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:20908]
ENSG00000261694	aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:21738]
ENSG00000206282	ral guanine nucleotide dissociation stimulator-like 2 [Source:HGNC Symbol;Acc:9769]
ENSG00000230141	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:4936]
ENSG00000184058	T-box 1 [Source:HGNC Symbol;Acc:11592]
ENSG00000236400	keratin associated protein 21-4, pseudogene [Source:HGNC Symbol;Acc:18954]
ENSG00000236236	tenascin XB [Source:HGNC Symbol;Acc:11976]
ENSG00000238257	
ENSG00000233036	keratin associated protein 8-2, pseudogene [Source:HGNC Symbol;Acc:18948]
ENSG00000142168	superoxide dismutase 1, soluble [Source:HGNC Symbol;Acc:11179]
ENSG00000099984	glutathione S-transferase theta 2 [Source:HGNC Symbol;Acc:4642]
ENSG00000267501	
ENSG00000265229	RNA, 7SL, cytoplasmic 112, pseudogene [Source:HGNC Symbol;Acc:46128]
ENSG00000201598	RNA, U6 small nuclear 219, pseudogene [Source:HGNC Symbol;Acc:47182]
ENSG00000227840	keratin associated protein 8-3, pseudogene [Source:HGNC Symbol;Acc:18949]
ENSG00000267593	
ENSG00000261180	C-type lectin domain family 5, member A [Source:HGNC Symbol;Acc:2054]
ENSG00000184586	keratin associated protein 7-1 (gene/pseudogene) [Source:HGNC Symbol;Acc:18934]
ENSG00000199713	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]
ENSG00000251870	RNA, U2 small nuclear 69, pseudogene [Source:HGNC Symbol;Acc:48562]
ENSG00000256386	
ENSG00000262742	multiple C2 domains, transmembrane 1 [Source:HGNC Symbol;Acc:26183]
ENSG00000228941	ubiquitin protein ligase E3A pseudogene 2 [Source:HGNC Symbol;Acc:12498]
ENSG00000224367	O-acyltransferase like, pseudogene [Source:HGNC Symbol;Acc:44362]
ENSG00000217442	synaptonemal complex central element protein 3 [Source:HGNC Symbol;Acc:35245]
ENSG00000227596	long intergenic non-protein coding RNA 243 [Source:HGNC Symbol;Acc:30956]
ENSG00000237325	
ENSG00000237594	
ENSG00000231733	
ENSG00000230870	F-box and WD repeat domain containing 11 pseudogene 1 [Source:HGNC Symbol;Acc:1145]
ENSG00000265255	7SK RNA [Source:RFAM;Acc:RF00100]
ENSG00000236492	DDR1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:28694]
ENSG00000234509	
ENSG00000265505	microRNA 4640 [Source:HGNC Symbol;Acc:41561]
ENSG00000264264	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
ENSG00000266841	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000235747	HLA complex group 21 (non-protein coding) [Source:HGNC Symbol;Acc:31335]
ENSG00000258014	
ENSG00000234461	
ENSG00000187939	double C2-like domains, beta [Source:HGNC Symbol;Acc:2986]
ENSG00000258372	Homo sapiens ADP-ribosylation factor-like 17B (ARL17B), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001103154]
ENSG00000262334	rabphilin 3A-like (without C2 domains) [Source:HGNC Symbol;Acc:10296]
ENSG00000132965	arachidonate 5-lipoxygenase-activating protein [Source:HGNC Symbol;Acc:436]
ENSG00000185650	ZFP36 ring finger protein-like 1 [Source:HGNC Symbol;Acc:1107]
ENSG00000266762	
ENSG00000240468	
ENSG00000229501	HLA complex group 22 (non-protein coding) [Source:HGNC Symbol;Acc:27780]
ENSG00000184674	glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:4641]
ENSG00000148828	Protein FRG2  [Source:UniProtKB/TrEMBL;Acc:E7EN36]
ENSG00000164684	zinc finger protein 704 [Source:HGNC Symbol;Acc:32291]
ENSG00000226619	
ENSG00000252287	RNA, 5S ribosomal pseudogene 24 [Source:HGNC Symbol;Acc:42600]
ENSG00000224778	centromere protein I pseudogene 1 [Source:HGNC Symbol;Acc:39575]
ENSG00000252675	RNA, U6 small nuclear 52, pseudogene [Source:HGNC Symbol;Acc:42542]
ENSG00000234527	PCDH9 antisense RNA 1 [Source:HGNC Symbol;Acc:39897]
ENSG00000238390	Small nucleolar RNA SNORA81 [Source:RFAM;Acc:RF01241]
ENSG00000234894	
ENSG00000238500	RNA, U7 small nuclear 87 pseudogene [Source:HGNC Symbol;Acc:42616]
ENSG00000229046	high mobility group nucleosome binding domain 1 pseudogene 2 [Source:HGNC Symbol;Acc:4985]
ENSG00000229147	sphingomyelin phosphodiesterase 4, neutral membrane (neutral sphingomyelinase-3) pseudogene 2 [Source:HGNC Symbol;Acc:39674]
ENSG00000228842	PCDH9 antisense RNA 2 [Source:HGNC Symbol;Acc:39896]
ENSG00000234107	tumor protein, translationally-controlled 1 pseudogene 1 [Source:HGNC Symbol;Acc:16742]
ENSG00000262563	glucose-6-phosphatase, catalytic, 2 [Source:HGNC Symbol;Acc:28906]
ENSG00000237138	
ENSG00000225263	PCDH9 antisense RNA 3 [Source:HGNC Symbol;Acc:40427]
ENSG00000227879	paraspeckle component 1 pseudogene 1 [Source:HGNC Symbol;Acc:42033]
ENSG00000224264	valyl-tRNA synthetase [Source:HGNC Symbol;Acc:12651]
ENSG00000233840	PCDH9 antisense RNA 4 [Source:HGNC Symbol;Acc:40428]
ENSG00000230323	long intergenic non-protein coding RNA 159 [Source:HGNC Symbol;Acc:1285]
ENSG00000214263	ribosomal protein SA pseudogene 53 [Source:HGNC Symbol;Acc:36641]
ENSG00000080986	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:16909]
ENSG00000232243	
ENSG00000264055	
ENSG00000230040	long intergenic non-protein coding RNA 364 [Source:HGNC Symbol;Acc:42686]
ENSG00000261610	
ENSG00000271287	
ENSG00000227256	MIS18A antisense RNA 1 [Source:HGNC Symbol;Acc:40106]
ENSG00000237636	ankyrin repeat domain 26 pseudogene 3 [Source:HGNC Symbol;Acc:39689]
ENSG00000227969	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 22 [Source:HGNC Symbol;Acc:39679]
ENSG00000232623	
ENSG00000263141	PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:13579]
ENSG00000231667	olfactory receptor, family 7, subfamily E, member 111 pseudogene [Source:HGNC Symbol;Acc:15344]
ENSG00000242871	RNA, 7SL, cytoplasmic 109, pseudogene [Source:HGNC Symbol;Acc:46125]
ENSG00000226537	olfactory receptor, family 7, subfamily E, member 33 pseudogene [Source:HGNC Symbol;Acc:8406]
ENSG00000200792	small nucleolar RNA, H/ACA box 80 [Source:HGNC Symbol;Acc:32666]
ENSG00000215349	mitochondrial ribosomal protein L3 pseudogene 1 [Source:HGNC Symbol;Acc:29701]
ENSG00000234765	elongation factor, RNA polymerase II, 2 pseudogene 3 [Source:HGNC Symbol;Acc:39345]
ENSG00000236834	long intergenic non-protein coding RNA 421 [Source:HGNC Symbol;Acc:42755]
ENSG00000229353	tenascin XB [Source:HGNC Symbol;Acc:11976]
ENSG00000224976	poly (ADP-ribose) polymerase family, member 4 pseudogene 2 [Source:HGNC Symbol;Acc:37760]
ENSG00000261508	dehydrogenase/reductase (SDR family) member 11 [Source:HGNC Symbol;Acc:28639]
ENSG00000239156	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSG00000125968	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5360]
ENSG00000238762	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSG00000238720	
ENSG00000256490	
ENSG00000256631	
ENSG00000229910	heterogeneous nuclear ribonucleoprotein A1 pseudogene 18 [Source:HGNC Symbol;Acc:39445]
ENSG00000256344	
ENSG00000263467	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSG00000257626	
ENSG00000257679	UDP-glucuronosyltransferase 2A3  [Source:UniProtKB/TrEMBL;Acc:F5GY78]
ENSG00000258281	
ENSG00000257739	
ENSG00000232007	polymerase (RNA) II (DNA directed) polypeptide L pseudogene [Source:HGNC Symbol;Acc:31340]
ENSG00000263323	
ENSG00000231450	psoriasis susceptibility 1 candidate 3 (non-protein coding) [Source:HGNC Symbol;Acc:17203]
ENSG00000260696	taste receptor, type 2, member 38 [Source:HGNC Symbol;Acc:9584]
ENSG00000263169	
ENSG00000102802	mesenteric estrogen-dependent adipogenesis [Source:HGNC Symbol;Acc:25926]
ENSG00000213923	casein kinase 1, epsilon [Source:HGNC Symbol;Acc:2453]
ENSG00000102158	magnesium transporter 1 [Source:HGNC Symbol;Acc:28880]
ENSG00000234079	HLA complex group 27 (non-protein coding) [Source:HGNC Symbol;Acc:27366]
ENSG00000232569	gamma-aminobutyric acid (GABA) B receptor, 1 [Source:HGNC Symbol;Acc:4070]
ENSG00000262970	alkaline ceramidase 3 [Source:HGNC Symbol;Acc:16066]
ENSG00000071991	cadherin 19, type 2 [Source:HGNC Symbol;Acc:1758]
ENSG00000228469	
ENSG00000088836	solute carrier family 4, sodium borate transporter, member 11 [Source:HGNC Symbol;Acc:16438]
ENSG00000257245	
ENSG00000236374	ubiquitin specific peptidase 8 pseudogene 1 [Source:HGNC Symbol;Acc:13987]
ENSG00000229430	ribosomal protein L3 pseudogene 2 [Source:HGNC Symbol;Acc:17834]
ENSG00000234095	major histocompatibility complex, class I, N (pseudogene) [Source:HGNC Symbol;Acc:19406]
ENSG00000257168	
ENSG00000236422	HLA complex group 19 pseudogene [Source:HGNC Symbol;Acc:31336]
ENSG00000256521	
ENSG00000231659	ubiquilin 1 pseudogene 1 [Source:HGNC Symbol;Acc:21633]
ENSG00000236433	ribosomal protein L37 pseudogene 21 [Source:HGNC Symbol;Acc:36256]
ENSG00000255638	
ENSG00000257295	
ENSG00000230405	ribosomal protein S3a pseudogene 52 [Source:HGNC Symbol;Acc:42004]
ENSG00000258032	
ENSG00000175664	testis expressed 26 [Source:HGNC Symbol;Acc:28622]
ENSG00000257819	
ENSG00000229824	ribosomal protein L12 pseudogene 34 [Source:HGNC Symbol;Acc:36168]
ENSG00000256252	
ENSG00000258124	
ENSG00000257934	
ENSG00000205560	carnitine palmitoyltransferase 1B (muscle) [Source:HGNC Symbol;Acc:2329]
ENSG00000229187	MHC class I polypeptide-related sequence C (pseudogene) [Source:HGNC Symbol;Acc:7092]
ENSG00000131055	cytochrome c oxidase subunit IV isoform 2 (lung) [Source:HGNC Symbol;Acc:16232]
ENSG00000229103	WAS protein family, member 5, pseudogene [Source:HGNC Symbol;Acc:21665]
ENSG00000258219	
ENSG00000233700	thymopoietin pseudogene 1 [Source:HGNC Symbol;Acc:21364]
ENSG00000243671	RNA, 7SL, cytoplasmic 761, pseudogene [Source:HGNC Symbol;Acc:46777]
ENSG00000258020	
ENSG00000229007	exosome component 3 pseudogene 1 [Source:HGNC Symbol;Acc:33989]
ENSG00000263140	chromosome 21 open reading frame 49 [Source:HGNC Symbol;Acc:1290]
ENSG00000232380	zinc finger, DHHC-type containing 20 pseudogene 4 [Source:HGNC Symbol;Acc:39776]
ENSG00000263155	myocardial zonula adherens protein [Source:HGNC Symbol;Acc:43444]
ENSG00000231710	
ENSG00000252045	Small nucleolar RNA SNORA33 [Source:RFAM;Acc:RF00438]
ENSG00000233561	DEAH (Asp-Glu-Ala-His) box polypeptide 16 [Source:HGNC Symbol;Acc:2739]
ENSG00000252950	RNA, 5S ribosomal pseudogene 490 [Source:HGNC Symbol;Acc:43390]
ENSG00000225501	small nuclear ribonucleoprotein polypeptide F pseudogene 3 [Source:HGNC Symbol;Acc:39666]
ENSG00000186842	long intergenic non-protein coding RNA 846 [Source:HGNC Symbol;Acc:16080]
ENSG00000237534	
ENSG00000228433	olfactory receptor, family 7, subfamily E, member 23 pseudogene [Source:HGNC Symbol;Acc:8395]
